creditscore,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,geography_Germany,geography_Spain,gender_Male,balance_per_product,credit_per_age,tenure_per_age
619,42,2,0.0,1,1,1,101348.88,1,False,False,False,0.0,14.395348837209303,0.046511627906976744
608,41,1,83807.86,1,0,1,112542.58,0,False,True,False,41903.93,14.476190476190476,0.023809523809523808
502,42,8,159660.8,3,1,0,113931.57,1,False,False,False,39915.2,11.674418604651162,0.18604651162790697
699,39,1,0.0,2,0,0,93826.63,0,False,False,False,0.0,17.475,0.025
850,43,2,125510.82,1,1,1,79084.1,0,False,True,False,62755.41,19.318181818181817,0.045454545454545456
645,44,8,113755.78,2,1,0,149756.71,1,False,True,True,37918.59333333333,14.333333333333334,0.17777777777777778
822,50,7,0.0,2,1,1,10062.8,0,False,False,True,0.0,16.11764705882353,0.13725490196078433
376,29,4,115046.74,4,1,0,119346.88,1,True,False,False,23009.348,12.533333333333333,0.13333333333333333
501,44,4,142051.07,2,0,1,74940.5,0,False,False,True,47350.35666666667,11.133333333333333,0.08888888888888889
684,27,2,134603.88,1,1,1,71725.73,0,False,False,True,67301.94,24.428571428571427,0.07142857142857142
528,31,6,102016.72,2,0,0,80181.12,0,False,False,True,34005.573333333334,16.5,0.1875
497,24,3,0.0,2,1,0,76390.01,0,False,True,True,0.0,19.88,0.12
476,34,10,0.0,2,1,0,26260.98,0,False,False,False,0.0,13.6,0.2857142857142857
549,25,5,0.0,2,0,0,190857.79,0,False,False,False,0.0,21.115384615384617,0.19230769230769232
635,35,7,0.0,2,1,1,65951.65,0,False,True,False,0.0,17.63888888888889,0.19444444444444445
616,45,3,143129.41,2,0,1,64327.26,0,True,False,True,47709.80333333334,13.391304347826088,0.06521739130434782
653,58,1,132602.88,1,1,0,5097.67,1,True,False,True,66301.44,11.067796610169491,0.01694915254237288
549,24,9,0.0,2,1,1,14406.41,0,False,True,False,0.0,21.96,0.36
587,45,6,0.0,1,0,0,158684.81,0,False,True,True,0.0,12.76086956521739,0.13043478260869565
726,24,6,0.0,2,1,1,54724.03,0,False,False,False,0.0,29.04,0.24
732,41,8,0.0,2,1,1,170886.17,0,False,False,True,0.0,17.428571428571427,0.19047619047619047
636,32,8,0.0,2,1,0,138555.46,0,False,True,False,0.0,19.272727272727273,0.24242424242424243
510,38,4,0.0,1,1,0,118913.53,1,False,True,False,0.0,13.076923076923077,0.10256410256410256
669,46,3,0.0,2,0,1,8487.75,0,False,False,True,0.0,14.23404255319149,0.06382978723404255
846,38,5,0.0,1,1,1,187616.16,0,False,False,False,0.0,21.692307692307693,0.1282051282051282
577,25,3,0.0,2,0,1,124508.29,0,False,False,True,0.0,22.192307692307693,0.11538461538461539
756,36,2,136815.64,1,1,1,170041.95,0,True,False,True,68407.82,20.43243243243243,0.05405405405405406
571,44,9,0.0,2,0,0,38433.35,0,False,False,True,0.0,12.688888888888888,0.2
574,43,3,141349.43,1,1,1,100187.43,0,True,False,False,70674.715,13.045454545454545,0.06818181818181818
411,29,0,59697.17,2,1,1,53483.21,0,False,False,True,19899.056666666667,13.7,0.0
591,39,3,0.0,3,1,0,140469.38,1,False,True,False,0.0,14.775,0.075
533,36,7,85311.7,1,0,1,156731.91,0,False,False,True,42655.85,14.405405405405405,0.1891891891891892
553,41,9,110112.54,2,0,0,81898.81,0,True,False,True,36704.18,13.166666666666666,0.21428571428571427
520,42,6,0.0,2,1,1,34410.55,0,False,True,False,0.0,12.093023255813954,0.13953488372093023
722,29,9,0.0,2,1,1,142033.07,0,False,True,False,0.0,24.066666666666666,0.3
475,45,0,134264.04,1,1,0,27822.99,1,False,False,False,67132.02,10.326086956521738,0.0
490,31,3,145260.23,1,0,1,114066.77,0,False,True,True,72630.115,15.3125,0.09375
804,33,7,76548.6,1,0,1,98453.45,0,False,True,True,38274.3,23.647058823529413,0.20588235294117646
850,36,7,0.0,1,1,1,40812.9,0,False,False,True,0.0,22.972972972972972,0.1891891891891892
582,41,6,70349.48,2,0,1,178074.04,0,True,False,True,23449.826666666664,13.857142857142858,0.14285714285714285
472,40,4,0.0,1,1,0,70154.22,0,False,True,True,0.0,11.512195121951219,0.0975609756097561
465,51,8,122522.32,1,0,0,181297.65,1,False,False,False,61261.16,8.942307692307692,0.15384615384615385
556,61,2,117419.35,1,1,1,94153.83,0,False,False,False,58709.675,8.96774193548387,0.03225806451612903
834,49,2,131394.56,1,0,0,194365.76,1,False,False,False,65697.28,16.68,0.04
660,61,5,155931.11,1,1,1,158338.39,0,False,True,False,77965.555,10.64516129032258,0.08064516129032258
776,32,4,109421.13,2,1,1,126517.46,0,True,False,False,36473.71,23.515151515151516,0.12121212121212122
829,27,9,112045.67,1,1,1,119708.21,1,True,False,False,56022.835,29.607142857142858,0.32142857142857145
637,39,9,137843.8,1,1,1,117622.8,1,True,False,False,68921.9,15.925,0.225
550,38,2,103391.38,1,0,1,90878.13,0,True,False,True,51695.69,14.102564102564102,0.05128205128205128
776,37,2,103769.22,2,1,0,194099.12,0,True,False,False,34589.74,20.42105263157895,0.05263157894736842
698,44,10,116363.37,2,1,0,198059.16,0,True,False,True,38787.79,15.511111111111111,0.2222222222222222
585,36,5,146050.97,2,0,0,86424.57,0,True,False,True,48683.65666666667,15.81081081081081,0.13513513513513514
788,33,5,0.0,2,0,0,116978.19,0,False,False,False,0.0,23.176470588235293,0.14705882352941177
655,41,8,125561.97,1,0,0,164040.94,1,True,False,True,62780.985,15.595238095238095,0.19047619047619047
601,42,1,98495.72,1,1,0,40014.76,1,True,False,True,49247.86,13.976744186046512,0.023255813953488372
619,43,1,125211.92,1,1,1,113410.49,0,False,False,True,62605.96,14.068181818181818,0.022727272727272728
656,45,5,127864.4,1,1,0,87107.57,0,False,False,True,63932.2,14.26086956521739,0.10869565217391304
725,19,0,75888.2,1,0,0,45613.75,0,True,False,True,37944.1,36.25,0.0
511,66,4,0.0,1,1,0,1643.11,1,False,True,False,0.0,7.626865671641791,0.05970149253731343
614,51,4,40685.92,1,1,1,46775.28,0,False,False,True,20342.96,11.807692307692308,0.07692307692307693
742,35,5,136857.0,1,0,0,84509.57,0,True,False,True,68428.5,20.61111111111111,0.1388888888888889
687,27,9,152328.88,2,0,0,126494.82,0,True,False,False,50776.293333333335,24.535714285714285,0.32142857142857145
555,33,1,56084.69,2,0,0,178798.13,0,False,True,True,18694.896666666667,16.323529411764707,0.029411764705882353
684,56,8,78707.16,1,1,1,99398.36,0,False,True,True,39353.58,12.0,0.14035087719298245
603,26,4,109166.37,1,1,1,92840.67,0,True,False,True,54583.185,22.333333333333332,0.14814814814814814
751,36,6,169831.46,2,1,1,27758.36,0,True,False,False,56610.486666666664,20.2972972972973,0.16216216216216217
581,34,1,101633.04,1,1,0,110431.51,0,True,False,False,50816.52,16.6,0.02857142857142857
735,43,10,123180.01,2,1,1,196673.28,0,True,False,True,41060.003333333334,16.704545454545453,0.22727272727272727
661,35,5,150725.53,2,0,1,113656.85,0,True,False,False,50241.84333333333,18.36111111111111,0.1388888888888889
675,21,8,98373.26,1,1,0,18203.0,0,False,False,False,49186.63,30.681818181818183,0.36363636363636365
738,58,2,133745.44,4,1,0,28373.86,1,True,False,True,26749.088,12.508474576271187,0.03389830508474576
813,29,6,0.0,1,1,0,33953.87,0,False,False,True,0.0,27.1,0.2
657,37,0,163607.18,1,0,1,44203.55,0,False,True,False,81803.59,17.289473684210527,0.0
604,25,5,157780.84,2,1,1,58426.81,0,True,False,False,52593.613333333335,23.23076923076923,0.19230769230769232
519,36,9,0.0,2,0,1,145562.4,0,False,False,True,0.0,14.027027027027026,0.24324324324324326
735,21,1,178718.19,2,1,0,22388.0,0,False,False,False,59572.73,33.40909090909091,0.045454545454545456
664,55,8,0.0,2,1,1,139161.64,0,False,False,True,0.0,11.857142857142858,0.14285714285714285
678,32,9,0.0,1,1,1,148210.64,0,False,False,False,0.0,20.545454545454547,0.2727272727272727
757,33,5,77253.22,1,0,1,194239.63,0,False,True,True,38626.61,22.264705882352942,0.14705882352941177
416,41,10,122189.66,2,1,0,98301.61,0,True,False,False,40729.886666666665,9.904761904761905,0.23809523809523808
665,34,1,96645.54,2,0,0,171413.66,0,False,False,False,32215.179999999997,19.0,0.02857142857142857
777,32,2,0.0,1,1,0,136458.19,1,False,False,False,0.0,23.545454545454547,0.06060606060606061
543,36,3,0.0,2,0,0,26019.59,0,False,False,False,0.0,14.675675675675675,0.08108108108108109
506,34,4,90307.62,1,1,1,159235.29,0,False,False,False,45153.81,14.457142857142857,0.11428571428571428
493,46,4,0.0,2,1,0,1907.66,0,False,False,False,0.0,10.48936170212766,0.0851063829787234
652,75,10,0.0,2,1,1,114675.75,0,False,True,False,0.0,8.578947368421053,0.13157894736842105
750,22,3,121681.82,1,1,0,128643.35,1,False,True,True,60840.91,32.608695652173914,0.13043478260869565
729,30,9,0.0,2,1,0,151869.35,0,False,False,True,0.0,23.516129032258064,0.2903225806451613
646,46,4,0.0,3,1,0,93251.42,1,False,False,False,0.0,13.74468085106383,0.0851063829787234
635,28,3,81623.67,2,1,1,156791.36,0,True,False,False,27207.89,21.896551724137932,0.10344827586206896
647,44,5,0.0,3,1,1,174205.22,1,False,True,False,0.0,14.377777777777778,0.1111111111111111
808,45,7,118626.55,2,1,0,147132.46,0,False,False,True,39542.183333333334,17.565217391304348,0.15217391304347827
524,36,10,0.0,2,1,0,109614.57,0,False,False,False,0.0,14.162162162162161,0.2702702702702703
769,29,8,0.0,2,1,1,172290.61,0,False,False,True,0.0,25.633333333333333,0.26666666666666666
730,42,4,0.0,2,0,1,85982.47,0,False,True,True,0.0,16.976744186046513,0.09302325581395349
515,35,10,176273.95,1,0,1,121277.78,0,False,True,True,88136.975,14.305555555555555,0.2777777777777778
773,41,9,102827.44,1,0,1,64595.25,0,False,True,True,51413.72,18.404761904761905,0.21428571428571427
814,29,8,97086.4,2,1,1,197276.13,0,True,False,True,32362.13333333333,27.133333333333333,0.26666666666666666
710,22,8,0.0,2,0,0,99645.04,0,False,True,True,0.0,30.869565217391305,0.34782608695652173
413,34,9,0.0,2,0,0,6534.18,0,False,False,True,0.0,11.8,0.2571428571428571
665,40,6,0.0,1,1,1,161848.03,0,False,False,False,0.0,16.21951219512195,0.14634146341463414
623,44,6,0.0,2,0,0,167162.43,0,False,False,False,0.0,13.844444444444445,0.13333333333333333
738,31,9,82674.15,1,1,0,41970.72,0,False,False,True,41337.075,23.0625,0.28125
528,36,7,0.0,2,1,0,60536.56,0,False,True,True,0.0,14.27027027027027,0.1891891891891892
670,65,1,0.0,1,1,1,177655.68,1,False,True,False,0.0,10.151515151515152,0.015151515151515152
622,46,4,107073.27,2,1,1,30984.59,1,False,True,False,35691.090000000004,13.23404255319149,0.0851063829787234
582,32,1,88938.62,1,1,1,10054.53,0,True,False,True,44469.31,17.636363636363637,0.030303030303030304
785,36,2,99806.85,1,0,1,36976.52,0,True,False,False,49903.425,21.216216216216218,0.05405405405405406
605,33,5,150092.8,1,0,0,71862.79,0,False,True,True,75046.4,17.794117647058822,0.14705882352941177
479,35,9,92833.89,1,1,0,99449.86,1,True,False,True,46416.945,13.305555555555555,0.25
685,30,3,90536.81,1,0,1,63082.88,0,True,False,True,45268.405,22.096774193548388,0.0967741935483871
538,39,7,108055.1,2,1,0,27231.26,0,True,False,True,36018.36666666667,13.45,0.175
562,42,2,100238.35,1,0,0,86797.41,0,False,False,True,50119.175,13.069767441860465,0.046511627906976744
675,36,9,106190.55,1,0,1,22994.32,0,False,True,True,53095.275,18.243243243243242,0.24324324324324326
721,28,9,154475.54,2,0,1,101300.94,1,True,False,True,51491.84666666667,24.862068965517242,0.3103448275862069
628,30,9,132351.29,2,1,1,74169.13,0,True,False,False,44117.09666666667,20.258064516129032,0.2903225806451613
668,37,6,167864.4,1,1,0,115638.29,0,True,False,False,83932.2,17.57894736842105,0.15789473684210525
506,41,1,0.0,2,1,0,31766.3,0,False,False,False,0.0,12.047619047619047,0.023809523809523808
524,31,8,107818.63,1,1,0,199725.39,1,True,False,False,53909.315,16.375,0.25
699,34,4,185173.81,2,1,0,120834.48,0,True,False,True,61724.60333333333,19.97142857142857,0.11428571428571428
828,34,8,129433.34,2,0,0,38131.77,0,False,False,True,43144.44666666666,23.65714285714286,0.22857142857142856
674,39,6,120193.42,1,0,0,100130.95,0,False,True,True,60096.71,16.85,0.15
656,39,6,0.0,2,1,0,141069.88,0,False,False,False,0.0,16.4,0.15
684,48,10,126384.42,1,1,1,198129.36,0,True,False,False,63192.21,13.959183673469388,0.20408163265306123
625,28,3,0.0,1,0,0,183646.41,0,False,False,False,0.0,21.551724137931036,0.10344827586206896
